AAREN	AA R AH N
SOOTH	S UW TH
SOOTHER	S UW DH ER
SOOTHS	S UW TH S
SOOTHSAY	S UW TH S EY IY
SOPHEY	S AA P HH EY
SOPHI	S AA F IY
SOPHISM	S AH F IH Z AH M
SOPHIST	S AA F AH S T
SOPHISTER	S AH F IH S T AH R
SOPHISTIC	S AA F IH S T IH K
SOPHISTICAL	S AA F IH S T IH K AH L
SOPHISTRY	S AH F IH S T R IY
SOPHOCLEAN	S AH F AA K L IY AH N
SOPORIFIC	S AA P AH R IH F AH K
SOPPED	S AA P T
SOPPY	S AA P IY
SOPWITH	S AA P W IH TH
SORCERESS	S AO R S AH R AH S
SORDIDNESS	S AO R D AH D N AH S
SOREHEAD	S OW R HH EH D
SORENESS	S OW R N AH S
SORRENTINE	S AO R AH N T AY N
SORRILY	S AA R IY L IY
SORRINESS	S AA R IY N AH S
SORROWER	S AA R OW ER
SORTA	S AO R T AH
SORTABLE	S AO R T AH B AH L
SORTIEING	S AO R T IY IH NG
SOSANNA	S AH S AE N AH
SOTTISH	S AA T AH SH
SOUFFLÃ‰	S AW F L
SOUGH	S UW
SOUGHS	S AW Z
SOULFULNESS	S OW L F AH L N AH S
SOUNDBOARD	S AW N D B OW R D
SOUNDERS	S AW N D ER Z
SOUNDLESS	S AW N D L AH S
SOUNDPROOF	S AW N D P R UW F
SOUPÃ‡ON	S UW P AO N
SOURCELESS	S OW R S L AH S
SOURDOUGH	S AW ER D OW
SOURDOUGHS	S AW ER D OW Z
SOURISH	S AW ER IH SH
SOURNESS	S AW ER N AH S
SOURPUSS	S AH R P AH S
SOUSE	S AW Z
SOUTHEASTER	S AW TH IY S T ER
SOUTHEY	S AW TH IY
SOUTHING	S AW TH IH NG
SOUTHPAW	S AW TH P AO
SOUTHWESTER	S AW TH W EH S T ER
SOWBELLY	S AW B EH L IY
SOWENS	S AW AH N Z
SOYINKA	S OY IH NG K AH
SPAATZ	S P AA T S
SPACEFLIGHT	S P EY S F L AY T
SPACEMAN	S P EY S M AE N
SPACEMEN	S P EY S M EH N
SPACEWAR	S P EY S W AO R
SPACEWOMAN	S P EY S W UH M AH N
SPACEWOMEN	S P EY S W IH M AH N
SPACIER	S P EY S IY ER
SPACIEST	S P EY S IY AH S T
SPACINESS	S P EY S IY N AH S
SPADEFUL	S P EY D F AH L
SPADICES	S P EY D IH K S IH Z
SPADIX	S P AE D AH K S
SPANDRELS	S P AE N D R AH L Z
SPANGLISH	S P AE NG G AH L IH SH
SPANIELLED	S P AE N Y AH L D
SPARENESS	S P EH R N AH S
SPARER	S P EH R ER
SPARERIBS	S P EH R IH B Z
SPARKER	S P AA R K ER
SPARKLER	S P AA R K AH L ER
SPARRER	S P AA R ER
SPARS	S P AA R Z
SPARSENESS	S P AA R S N AH S
SPARSITY	S P AA R S AH T IY
SPATHE	S P EY DH
SPATIALITY	S P EY SH IY AE L AH T IY
SPATTED	S P AE T IH D
SPATTERDOCK	S P AE T ER D AA K
SPATTING	S P AE T IH NG
SPAVIN	S P AE V AH N
SPAWNER	S P AO N AH R
SPEAKABLE	S P IY K AH B AH L
SPEAKEASY	S P IY K IY Z IY
SPEARER	S P IH ER ER
SPEARFISH	S P IH ER F IH SH
SPEARMINT	S P IH ER M IH N T
SPECIALISM	S P EH SH AH L IH Z AH M
SPECIE	S P IY SH IY
SPECIF	S P EH S AH F
SPECIFIABLE	S P EH K AH F AY AH B AH L
SPECIFIABLY	S P EH K AH F AY AH B L IY
SPECIFIER	S P EH K AH F AY ER
SPECTROGRAM	S P EH K T R AA G R AH M
SPECULAR	S P EH K Y AH L ER
SPECULARITY	S P EH K Y AH L ER AH T IY
SPEEDINESS	S P IY D IY N AH S
SPEEDSTER	S P IY D S T ER
SPEEDWELL	S P IY D W EH L
SPELEOLOGY	S P IY L IY AA L AH JH IY
SPELLBIND	S P EH L B AY N D
SPELLBINDER	S P EH L B AY N D ER
SPELLDOWN	S P EH L D AW N
SPENCERIAN	S P EH N S IY R IY AH N
SPENGLERIAN	S P EH N G L IY R IY AH N
SPENSE	S P EH N S
SPENSERIAN	S P EH N S IY R IY AH N
SPEWER	S P Y UW ER
SPHAGNUM	S F AE G N AH M
SPHERIC	S F IH ER IH K
SPHERICS	S F IH ER IH K S
SPHEROIDAL	S F AH R OY D AH L
SPHERULE	S F EH R UW L
SPHINCTER	S F IH NG K T AH R
SPICA	S P IH K AH
SPICEBUSH	S P AY S B UH SH
SPICILY	S P AY S IY L IY
SPICINESS	S P AY S IY N AH S
SPICULE	S P IH K Y UW L
SPIDERWEB	S P AY D ER W EH B
SPIDERWORT	S P AH D AH R W AH R T
SPIDERY	S P AY D ER IY
SPIKINESS	S P AY K IY N AH S
SPINDLY	S P IH N D AH L IY
SPINET	S P IH N AH T
SPININESS	S P AY N IY N AH S
SPINNAKER	S P IH N EY K AH R
SPINNERET	S P IH N AH R EH T
SPIRACLE	S P IH R AH K AH L
SPIREA	S P IH R IY AH
SPIRITLESS	S P IH R AH T L AH S
SPIRITUOUS	S P AH R IH T Y AH W AH S
SPIROCHETE	S P IH R AH CH IY T
SPIRY	S P AY R IY
SPITEFULLER	S P AY T F AH L ER
SPITFIRE	S P IH T F AY ER
SPITTED	S P IH T IH D
SPITTOON	S P IH T UW N
SPLASHDOWN	S P L AE SH D AW N
SPLASHER	S P L AE SH ER
SPLASHILY	S P L AE SH IY L IY
SPLASHINESS	S P L AE SH IY N AH S
SPLATTED	S P L AE T AH D
SPLATTING	S P L AE T AH NG
SPLAY	S P L EY
SPLAYFEET	S P L EY F IY T
SPLAYFOOT	S P L EY F UH T
SPLENDOROUS	S P L EH N D ER AH S
SPLENETIC	S P L IH N EH T IH K
SPLICER	S P L AY S ER
SPLINE	S P L AY N
SPLITTABLE	S P L IH T AH B AH L
SPLODGE	S P L AA JH
SPLOTCH	S P L AA CH
SPLOTCHY	S P L AA CH IY
SPLUTTER	S P L AH T AH R
SPLUTTERER	S P L AH T IY R AH R
SPOILABLES	S P OY L AH B AH L Z
SPOILSPORT	S P OY L S P OW R T
SPOKESHAVE	S P OW K SH EY V
SPOLIATION	S P AA L AY EY SH AH N
SPONGECAKE	S P AH N JH K EY K
SPONGER	S P AH N JH ER
SPONGINESS	S P AH N JH IY N AH S
SPOOKINESS	S P UW K IY N AH S
SPOONBILL	S P UW N B IH L
SPOONERISM	S P UW N ER IH Z AH M
SPORRAN	S P AO R AH N
SPORTINESS	S P OW R T IY N AH S
SPORTIVE	S P OW R T IH V
SPORTSCAST	S P OW R T S K AE S T
SPORTSWOMAN	S P OW R T S W UH M AH N
SPORTSWOMEN	S P OW R T S W IH M AH N
SPOTLIT	S P AA T L IH T
SPOTTILY	S P AA T IY L IY
SPOTTINESS	S P AA T IY N AH S
SPOUTER	S P AW T ER
SPRAT	S P R AE T
SPREEING	S P R IY IH NG
SPRIG	S P R IH G
SPRIGGING	S P R IH G IH NG
SPRINGBOK	S P R IH N G AH K
SPRINGEING	S P R IH NG IY AH NG
SPRINGILY	S P R IH NG IY L IY
SPRINGINESS	S P R IH NG IY N AH S
SPRINGLIKE	S P R IH NG L AY K
SPRINGY	S P R IH NG IY
SPRITZ	S P R IH T S
SPROCKETED	S P R AA K IY T AH D
SPRUCENESS	S P R UW S N AH S
SPRUE	S P R UW
SPRYNESS	S P R IH N AH S
SPUDDED	S P AH D AH D
SPUDDING	S P AH D AH NG
SPUME	S P Y UW M
SPUMONI	S P UH M OW N IY
SPUMY	S P Y UW M IY
SPUTA	S P Y UW T AH
SQUAB	S K W AA B
SQUABBED	S K W AA B D
SQUABBER	S K W AA B AH R
SQUABBEST	S K W AA B AH S T
SQUABBING	S K W AA B AH NG
SQUABBLER	S K W AA B AH L ER
SQUADDED	S K W AA D IH D
SQUADDING	S K W AA D IH NG
SQUALIDNESS	S K W AA L AH D N AH S
SQUALLER	S K W AO L ER
SQUALLY	S K W AO L IY
SQUAMOUS	S K W AA M AH S
SQUANTO	S K W AA N T OW
SQUARENESS	S K W EH R N AH S
SQUARER	S K W EH R ER
SQUARISH	S K W EH R IH SH
SQUASHINESS	S K W AA SH IY N AH S
SQUATNESS	S K W AA T N AH S
SQUATTED	S K W AA T IH D
SQUATTEST	S K W AA T AH S T
SQUAWKER	S K W AO K ER
SQUEAKILY	S K W IY K IY L IY
SQUEAKINESS	S K W IY K IY N AH S
SQUEALER	S K W IY L ER
SQUEEGEEING	S K W IY JH IY AH NG
SQUEEZER	S K W IY Z ER
SQUELCHER	S K W EH L CH ER
SQUELCHY	S K W EH L CH IY
SQUIB	S K W IH B
SQUIBBED	S K W IH B D
SQUIBBING	S K W IH B AH NG
SQUIDDED	S K W IH D AH D
SQUIDDING	S K W IH D AH NG
SQUIGGLY	S K W IH G L IY
SQUINTER	S K W IH N T ER
SQUIREHOOD	S K W AY ER HH UH D
SQUIRMY	S K W ER M IY
SQUISH	S K W IH SH
STABBER	S T AE B ER
STABLEMAN	S T EY B AH L M AE N
STABLEMATE	S T EY B AH L M EY T
STABLEMEN	S T EY B AH L M EH N
STABLENESS	S T EY B AH L N AH S
STABLING	S T AE B L IH NG
STABLY	S T AE B L IY
STACE	S T EY S
STACEE	S T EY S IY IY
STACI	S T AE S IY
STACKABLE	S T AE K AH B AH L
STADIAS	S T EY D IY AH Z
STAEL	S T IY L
STAFANI	S T AE F AH N IY
STAFFARD	S T AE F AH R D
STAFFROOM	S T AE F R UW M
STAFORD	S T AE F AH R D
STAGESTRUCK	S T EY JH S T R AH K
STAGGED	S T AE G D
STAGGERER	S T AE G ER ER
STAGGING	S T AE G IH NG
STAGINESS	S T EY JH IY N AH S
STAGNANCY	S T AE G N AH N S IY
STAGY	S T EY JH IY
STAIDNESS	S T EY D N AH S
STAINER	S T EY N ER
STALACTITE	S T AE L AH K T AY T
STALAG	S T AA L AA G
STALAGMITE	S T AA L AA G M AY T
STALENESS	S T EY L N AH S
STAMEN	S T EY M AH N
STAMINATE	S T EY M AH N AH T
STAMMERER	S T AE M ER ER
STAMMERING	S T AE M ER IH NG
STAMPEDER	S T AE M P IY D ER
STANCHER	S T AO N CH ER
STANCHION	S T AO N CH AH N
STANDALONE	S T AE N D AH L OW N
STANDEE	S T AE N D IY
STANDFORD	S T AE N D F OW R D
STANDOFFISH	S T AE N D AO F IH SH
STANDPIPE	S T AE N D P AY P
STANISLAUS	S T AH N IH Z L EY AH S
STANNIC	S T AE N AH K
STANNOUS	S T AE N AH S
STAPHS	S T AE F S
ANESTHETIZER	AH N EH S TH AH T AY Z ER
STARCHILY	S T AA R CH IY L IY
STARCHINESS	S T AA R CH IY N AH S
STARGAZE	S T AA R G EY Z
STARLA	S T AA R L AH
STARLENE	S T AA R L IY N
STARLESS	S T AA R L AH S
STARVELING	S T AA R V L IH NG
STARVER	S T AA R V ER
STASIS	S T EY S AH S
STATELINESS	S T EY T L IY N AH S
STATEROOM	S T EY T R UW M
STATESWOMAN	S T EY T S W UH M AH N
STATESWOMEN	S T EY T S W IH M AH N
STATICAL	S T AE T IH K AH L
STATOR	S T EY T ER
STAUNCHNESS	S T AO N CH N AH S
STAVRO	S T AE V R OW
STDIO	S T D IY OW
STEADING	S T EH D IH NG
STEALTHILY	S T EH L TH IY L IY
STEALTHS	S T EH L TH S
STEAMFITTER	S T IY M F IH T ER
STEAMINESS	S T IY M IY N AH S
STEAMROLL	S T IY M R OW L
STEELINESS	S T IY L IY N AH S
STEELWORK	S T IY L W ER K
STEELYARD	S T IY L Y AA R D
STEEPEN	S T IY P AH N
STEEPLEBUSH	S T IY P AH L B UH SH
STEEPLEJACK	S T IY P AH L JH AE K
STEERAGE	S T IH ER IH JH
STEERER	S T IH ER ER
STEERSMAN	S T IH ER Z M AE N
STEERSMEN	S T IH ER Z M EH N
STEFANIA	S T AH F EY N Y AH
STEFFANE	S T EH F EY N
STEGOSAURI	S T AH G AA S AH R IY
STELLATED	S T EH L EY T AH D
STEMLESS	S T EH M L AH S
STEMWARE	S T EH M W EH R
STENCILER	S T EH N S AH L AH R
STENDLER	S T EH N D L AH R
STENOGRAPHY	S T AH N AA G R AH F IY
STENOTYPE	S T EH N AH T AY P
STENTORIAN	S T EH N T AO R IY AH N
STEPBROTHER	S T EH P B R AH DH ER
STEPHANNIE	S T AH F AE N AY
STEPHANUS	S T EH F AH N AH S
STEPHENIE	S T EH P HH EH N IY
STEPHI	S T EH F IY
STEPHIE	S T EH F AY
STEPHINE	S T AH F AY N
STEPPARENT	S T EH P ER AH N T
STEPWISE	S T EH P W AY Z
STEREOSCOPE	S T EH R IY OW S K OW P
STEREOSCOPY	S T EH R IY OW S K OW P IY
STEREOTYPIC	S T EH R IY AH T AY P IH K
STERNAL	S T ER N AH L
STERNO	S T AH R N OW
STERNUM	S T ER N AH M
STEROIDAL	S T EH R OY D AH L
STERTOROUS	S T AH R T AH R AH S
STESHA	S T EH SH AH
STETTED	S T EH T AH D
STETTING	S T EH T AH NG
STEVY	S T IY V IY
STICKILY	S T IH K IY L IY
STICKINESS	S T IH K IY N AH S
STICKLEBACK	S T IH K AH L B AE K
STICKPIN	S T IH K P IH N
STICKUP	S T IH K AH P
STIGMATIC	S T IH M AH T AH K
STILLBIRTH	S T IH L B ER TH
STILLBIRTHS	S T IH L B ER TH S
STILLEST	S T IH L AH S T
STILLMANN	S T IH L M AH N
STILTON	S T IH L T AO N
STIMULATORY	S T IH M Y AH L AH T OW R IY
STINGILY	S T IH N JH IY L IY
STINGRAY	S T IH NG R EY
STINKER	S T IH NG K ER
STINKPOT	S T IH NG K P AA T
STINTER	S T IH N T ER
STINTING	S T IH N T IH NG
STIPENDIARY	S T AH P EH N D AY EH R IY
STIPPLE	S T IH P AH L
STIPPLER	S T IH P L AH R
STIRRER	S T ER ER
STITCHER	S T IH CH ER
STITCHERY	S T IH CH AH R IY
STOAT	S T OW T
STOCKILY	S T AA K IY L IY
STOCKINESS	S T AA K IY N AH S
STOCKINETTE	S T AA K IH N EH T
STOCKIST	S T AA K IH S T
STOCKPILER	S T AA K P AY L ER
STOCKPOT	S T AA K P AA T
STOCKTAKING	S T AA K T EY K IH NG
STODGE	S T AA JH
STODGILY	S T AA JH IY L IY
STODGINESS	S T AA JH IY N AH S
STOGY	S T OW JH IY
STOICAL	S T OW IH K AH L
STOLIDITY	S T AA L AH D AH T IY
STOLIDNESS	S T AA L AH D N AH S
STOLON	S T AA L AH N
STOMACHACHE	S T AH M AH K EY K
STOMACHER	S T AH M AH K ER
STONELESS	S T OW N L AH S
STONEMASON	S T OW N M EY S AH N
STONEWASHED	S T OW N W AA SH T
STONEWORK	S T OW N W ER K
STONEWORT	S T AA N Y UW AH R T
STONILY	S T OW N IY L IY
STONINESS	S T OW N IY N AH S
STOPCOCK	S T AA P K AA K
STOPPABLE	S T AA P AH B AH L
STOPPARD	S T AA P AH R D
STOPPLE	S T AA P AH L
STOREKEEP	S T OW R K IY P
STORMBOUND	S T AO R M B AW N D
STORMI	S T AO R M IY
STORMIE	S T AO R M IY
STORMILY	S T AO R M IY L IY
STOUTEN	S T AW T AH N
STOVEPIPE	S T OW V P AY P
STOWAGE	S T OW IH JH
STRABO	S T R AE B OW
STRADDLER	S T R AE D AH L ER
STRADIVARI	S T R AH D IH V AH R IY
STRAFER	S T R EY F ER
STRAGGLY	S T R AE G AH L IY
STRAIGHTWAY	S T R EY T W EY
STRAINER	S T R EY N ER
STRAITEN	S T R EY T AH N
STRAITLACED	S T R EY T L EY S T
STRAITNESS	S T R EY T N AH S
STRANGLES	S T R AE NG G AH L Z
STRAPLESS	S T R AE P L AH S
STRATEGICS	S T R AH T IY JH IH K S
STRATI	S T R AE T IY
STRAWFLOWER	S T R AO F L AW ER
STREAKY	S T R IY K IY
STREETLIGHT	S T R IY T L AY T
STRETCHABLE	S T R EH CH AH B AH L
STRETCHY	S T R EH CH IY
STRIA	S T R IY AH
STRIAE	S T R IY IY
STRIATE	S T R AY EY T
STRIATED	S T R AY EY T AH D
STRIATION	S T R AY EY SH AH N
STRICTNESS	S T R IH K T N AH S
STRIDDEN	S T R IH D AH N
STRIKEBREAK	S T R AY K B R EY K
STRINDBERG	S T R IH N D AH R G
STRINGINESS	S T R IH NG IY N AH S
STRIPY	S T R AY P IY
STRIVER	S T R AY V ER
STROBOSCOPE	S T R AA B AH S OW P
STRONGBOW	S T R AO NG B AW
STRONGBOX	S T R AO NG B AA K S
STRONGHEART	S T R AO NG HH AA R T
STRONGISH	S T R AO NG IH SH
STRONGMEN	S T R AO NG M EH N
STRONGROOM	S T R AO NG R UW M
STROP	S T R AA P
STROPHE	S T R OW F IY
STROPHIC	S T R OW F IY IH K
STROPPED	S T R AA P T
STROPPING	S T R AA P IH NG
STRUDEL	S T R UW D AH L
STRUGGLER	S T R AH G AH L ER
STRUMMED	S T R AH M D
STRUMPET	S T R AH M P EH T
STRUTTED	S T R AH T IH D
STRUTTER	S T R AH T ER
STUBBING	S T AH B IH NG
STUBBLY	S T AH B AH L IY
STUCCOES	S T AH K OW Z
STUDBOOK	S T AH D B UH K
STUDDING	S T AH D IH NG
STUDENTSHIP	S T UW D AH N T SH IH P
STUDIEDNESS	S T AH D IY AH D N AH S
STUDIER	S T AH D IY ER
STUFFILY	S T AH F IY L IY
STUFFINESS	S T AH F IY N AH S
STUMPY	S T AH M P IY
STUPEFY	S T UW P AH F AY
STURDILY	S T ER D IY L IY
STYLI	S T IH L IY
STYLISHNESS	S T AY L IH SH N AH S
STYLIZATION	S T AY L AH Z EY SH AH N
STYLOS	S T IH L AH Z
STYMIEING	S T AY M IY IH NG
STYPTIC	S T IH P T AH K
SUABLE	S UW AH B AH L
SUAVENESS	S W AA V N AH S
SUAVITY	S W AA V AH T IY
SUBALTERN	S AH B AO L T ER N
SUBARCTIC	S AH B AA R K T IH K
SUBAREAS	S AH B AE R IY AH Z
SUBBASEMENT	S AH B EY S M AH N T
SUBBRANCH	S AH B R AE N CH
SUBCASTE	S AH B K AE S T
SUBCATEGORY	S AH B K AE T IH G AO R IY
SUBCHAIN	S AH B CH EY N
SUBCLASS	S AH B K L AE S
SUBCLAUSES	S AH B K L AO Z IH Z
SUBCOMMAND	S AH B K AH M AE N D
SUBCONCEPT	S AH B K AA N S EH P T
SUBCULTURAL	S AH B K AH L CH ER AH L
SUBDISTRICT	S AH B D IH S T R IH K T
SUBDUER	S AH B D UW ER
SUBFIELD	S AH B F IY L D
SUBFILE	S AH B F AY L
SUBFREEZING	S AH B F R IY Z IH NG
SUBGOAL	S AH B G OW L
SUBGRAPH	S AH B G R AE F
SUBGRAPHS	S AH B G R AE F S
SUBHARMONIC	S AH B HH AA R M AA N IH K
SUBHEAD	S AH B HH EH D
SUBHEADING	S AH B HH EH D IH NG
SUBINDEX	S AH B IH N D EH K S
SUBINTERVAL	S AH B IH N T ER V AH L
SUBJECTION	S AH B JH IH K SH AH N
SUBJOIN	S AH B JH OY N
SUBJUGATION	S AH B JH IH G EY SH AH N
SUBJUNCTIVE	S AH B JH AH NG K T IH V
SUBLAYER	S AH B L EY ER
SUBLETTING	S AH B L EH T IH NG
SUBLIMATE	S AH B L AH M EY T
SUBLIMATION	S AH B L AY M EY SH AH N
SUBLIMENESS	S AH B L AY M N AH S
SUBLIMER	S AH B L AY M ER
SUBLIMITY	S AH B L AY M AH T IY
SUBLIST	S AH B L IH S T
SUBLITERARY	S AH B L IH T ER EH R IY
SUBLUNARY	S AH B L UW N ER IY
SUBMARGINAL	S AH B M AA R JH AH N AH L
SUBMARINER	S AH B M AE R AH N ER
SUBMITTABLE	S AH B M IH T AH B AH L
SUBMITTAL	S AH B M IH T AH L
SUBMITTER	S AH B M IH T ER
SUBMODE	S AH B M OW D
SUBMODULE	S AH B M AA JH UW L
SUBNATIONAL	S AH B N AE SH AH N AH L
SUBNET	S AH B N EH T
SUBNETWORK	S AH B N EH T W ER K
SUBNORMAL	S AH B N AO R M AH L
SUBOPTIMAL	S AH B AA P T AH M AH L
SUBORBITAL	S AH B AO R B AH T AH L
SUBORDER	S AH B AO R D ER
SUBORN	S AH B AO R N
SUBORNATION	S AH B AO R N EY SH AH N
SUBPAGE	S AH B P EY JH
SUBPART	S AH B P AA R T
SUBPROBLEM	S AH B P R AA B L AH M
SUBPROCESS	S AH B P R AA S EH S
SUBPROGRAM	S AH B P R OW G R AE M
SUBPROJECT	S AH B P R AA JH EH K T
SUBPROOF	S AH B P R UW F
SUBQUESTION	S AH B K W EH S CH AH N
SUBRANGE	S AH B R EY N JH
SUBREGION	S AH B R IY JH AH N
SUBREGIONAL	S AH B R IY JH AH N AH L
SUBROGATION	S AH B R OW G EY SH AH N
SUBROUTINE	S AH B R UW T IY N
SUBSAMPLE	S AH B S AE M P AH L
SUBSCHEMA	S AH B S K IY M AH
SUBSCRIPT	S AH B S K R IH P T
SUBSCRIPTED	S AH B S K R IH P T IH D
SUBSEGMENT	S AH B S EH G M AH N T
SUBSENTENCE	S AH B S EH N T AH N S
SUBSEQUENCE	S AH B S IY K W AH N S
SUBSIDIZER	S AH B S AH D AY Z ER
SUBSISTENT	S AH B S IH S T AH N T
SUBSOCIETAL	S AH B S AH S AY AH T AH L
SUBSONIC	S AH B S AA N IH K
SUBSPECIES	S AH B S P IY SH IY Z
SUBSTRATA	S AH B S T R AE T AH
SUBSTRATUM	S AH B S T R AE T AH M
SUBSTRING	S AH B S T R IH NG
SUBSUME	S AH B S UW M
SUBTABLE	S AH B T EY B AH L
SUBTASK	S AH B T AE S K
SUBTEEN	S AH B T IY N
SUBTENANCY	S AH B T EH N AH N S IY
SUBTENANT	S AH B T EH N AH N T
SUBTEND	S AH B T EH N D
SUBTEST	S AH B T EH S T
SUBTLENESS	S AH T AH L N AH S
SUBTOPIC	S AH B T AA P IH K
SUBTOTAL	S AH B T OW T AH L
SUBTRACTER	S AH B T R AE K T ER
SUBTRAHEND	S AH B T R AE HH AH N D
SUBTREE	S AH B T R IY
SUBTROPIC	S AH B T R AA P IH K
SUBTROPICAL	S AH B T R AA P IH K AH L
SUBUNIT	S AH B Y UW N AH T
SUBVENTION	S AH B V EH N CH AH N
SUBVERTER	S AH B V ER T ER
SUCCEEDER	S AH K S IY D ER
SUCCORED	S AH K ER D
SUCCORER	S AH K ER ER
SUCCOTASH	S AH K AH T AH SH
SUCCUBUS	S AH K Y UW B AH S
SUCCULENCE	S AH K Y AH L AH N S
SUCCULENCY	S AH K Y AH L EH N S IY
SUCHLIKE	S AH CH L AY K
SUDANIC	S UW D AH N AH K
SUDETENLAND	S UW D AH T EH N L AH N D
SUDSY	S AH D Z IY
SUELLEN	S UW EH L AH N
SUER	S UW ER
SUET	S UW AH T
SUETONIUS	S UW AH T AA N AY AH S
SUETY	S UW AH T IY
SUFFERANCE	S AH F ER AH N S
SUFFIXATION	S AH F IH K S EY SH AH N
SUFFIXED	S AH F IH K S T
SUFFRAGAN	S AH F R AH JH AH N
SUFFUSION	S AH F Y UW ZH AH N
SUFI	S UW F IY
SUFISM	S UW F AH Z AH M
SUGARCOAT	SH UH G ER K OW T
SUGARLESS	SH UH G ER L AH S
SUGARPLUM	SH UH G ER P L AH M
SUGGESTER	S AH G JH EH S T ER
SUGILLATE	S UW JH AH L EY T
SUKKOT	S AH K AH T
SULEIMAN	S UW L IY M AH N
SULFONAMIDE	S AH L F AA N AH M AY D
SULFUROUS	S AH L F ER AH S
SULKILY	S AH L K IY L IY
SULKINESS	S AH L K IY N AH S
SULKY	S AH L K IY
SULLA	S AH L AH
SULLENNESS	S AH L AH N AH S
SULPHIDE	S AH L F AY D
SULPHURIC	S AH L F ER IH K
SULTANA	S AH L T AH N AH
SUMER	S AH M ER
SUMERIAN	S UW M IY R IY AH N
SUMMABILITY	S AH M AH B IH L AH T EH
SUMMABLE	S AH M AH B AH L
SUMMAND	S AH M AH N D
SUMMARIZER	S AH M ER AY Z ER
SUMMERDALE	S AH M ER D EY L
SUMMERHOUSE	S AH M ER HH AW S
SUMMERY	S AH M AH R IY
SUMMONER	S AH M AH N ER
SUNBAKED	S AH N B EY K T
SUNBATHER	S AH N B EY DH ER
SUNBATHS	S AH N B AE TH S
SUNBLOCK	S AH N B L AA K
SUNBONNET	S AH N B AA N AH T
SUNBURST	S AH N B ER S T
SUNCREAM	S AH N K R IY M
SUNDANESE	S AH N D AH N IY Z
SUNDAS	S AH N D AH Z
SUNDOWNER	S AH N D AW N ER
SUNDRIS	S AH N D R IY Z
SUNLAMP	S AH N L AE M P
SUNLESS	S AH N L AH S
SUNNED	S AH N D
SUNNINESS	S AH N IY N AH S
SUNNITE	S AH N AY T
SUNSETTING	S AH N S EH T IH NG
SUNSHADE	S AH N SH EY D
SUNSTROKE	S AH N S T R OW K
SUNTANNED	S AH N T AE N D
SUNTANNING	S AH N T AE N IH NG
SUPERBNESS	S UH P ER B N AH S
SUPERCARGO	S UW P ER K AA R G OW
SUPERCITY	S UW P ER S IH T IY
SUPERCLASS	S UW P ER K L AE S
SUPERDENSE	S UW P ER D EH N S
SUPEREGO	S UW P ER IY G OW
SUPERFINE	S UW P ER F AY N
SUPERFIX	S UW P ER F IH K S
SUPERFLUITY	S UW P ER F L UW AH T IY
SUPERHEAT	S UW P ER HH IY T
SUPERINTEND	S UW P ER IH N T EH N D
SUPERLUNARY	S UW P ER L UW N ER IY
SUPERMEN	S UW P ER M EH N
SUPERMOM	S UW P ER M AA M
SUPERNAL	S UW P AH R N AH L
SUPERNATANT	S UW P ER N EY T AH N T
SUPERNORMAL	S UW P ER N AO R M AH L
SUPERNOVAE	S UW P AH R N AA V IY
SUPERPOSE	S UW P ER P OW Z
SUPERSCRIBE	S UW P ER S K R AY B
SUPERSCRIPT	S UW P ER S K R IH P T
SUPERSEDER	S UW P ER S IY D ER
SUPERSET	S UW P ER S EH T
SUPERTITLE	S UW P ER T AY T AH L
SUPERUSER	S UW P ER Y UW S ER
SUPERVENE	S UW P ER V IY N
SUPINENESS	S UH P AY N AH S
SUPPL	S AH P L
SUPPLANTER	S AH P L AE N T ER
SUPPLENESS	S AH P AH L N AH S
SUPPLIANT	S AH P L AY AH N T
SUPPLICATE	S AH P L AH K AH T
SUPPOSITORY	S AH P AA Z AH T ER IY
SUPPRESSIVE	S AH P R EH S IH V
SUPPURATE	S AH P Y ER AH T
SUPPURATION	S AH P Y ER EY SH AH N
SUPREMAL	S UH P R IY M AH L
SUPREMENESS	S UH P R IY M N AH S
SUPREMO	S AH P R AH M OW
SURABAYA	S AH R AE B EY AH
SURCINGLE	S AH R S AH N G AH L
SURD	S AH R D
SURED	SH UH R D
SUREFIRE	SH UH R F AY ER
SUREFOOTED	SH UH R F UH T IH D
SURENESS	SH UH R N AH S
SURFACER	S ER F AH S ER
SURINAMESE	S AH R IH N AH M IY Z
SURLINESS	S ER L IY N AH S
SURMISER	S ER M AY Z ER
SURPLICE	S AH R P L AH S
SURPLUSSED	S ER P L AH S T
SURPLUSSING	S ER P L AH S IH NG
SURPRISER	S ER P R AY Z ER
SURREALIST	S AH R IY AH L AH S T
SURREALITY	S ER R IY AE L AH T IY
SURRENDERER	S AH R EH N D ER ER
SURVEILLANT	S ER V EY L AH N T
SURYA	S UH R AY AH
SUSANETTA	S UW S AH N EH T AH
SUSPECTER	S AH S P EH K T ER
SUSPENSIVE	S AH S P EH N S IH V
SUSPENSOR	S AH S P EH N S ER
SUSTAINER	S AH S T EY N ER
SUSTAINMENT	S AH S T EY N M AH N T
SUTHERLAN	S AH TH AH R L AH N
SUTLER	S AH T L AH R
SUWANEE	S AH W AH N IY IY
SUZANN	S UW Z AH N
SUZERAIN	S UW Z AH R EY N
SUZERAINTY	S UW Z AH R AH N T IY
SUZI	S UW Z IY
SVALBARD	S V AE L B AH R D
SVEND	S V EH N D
SVENGALI	S V EH N G AH L IY
SWABBED	S W AA B D
SWABBING	S W AA B IH NG
